,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,will_change
3942,Application.Areas.RmaAdmin.Views.MenuManager,0.043209876543209874,0.03278688524590164,0.0,0.0,0.017531044558071585,0.0,0.0774818401937046,0.0,0
3943,Application.Areas.Screening.ScreeningAreaRegistration,0.006172839506172839,0.006147540983606557,0.0,0.0,0.0029218407596785976,0.0,0.002421307506053269,0.0,0
3944,Application.Areas.Screening.AutoMapper.AuditProfile,0.012345679012345678,0.004098360655737705,0.0,0.0,0.0014609203798392988,0.0,0.0,0.0,0
3945,Application.Areas.Screening.AutoMapper.AvailableItemsProfile,0.012345679012345678,0.004098360655737705,0.0,0.0,0.0014609203798392988,0.0,0.0,0.0,0
3946,Application.Areas.Screening.AutoMapper.CheckItemsProfile,0.08641975308641975,0.06557377049180328,0.0,0.0,0.016800584368151936,0.0,0.07021791767554479,0.0,0
3947,Application.Areas.Screening.AutoMapper.PreAlertProfile,0.12345679012345678,0.06557377049180328,0.0,0.0,0.016070124178232288,0.0,0.04842615012106538,0.0,0
3948,Application.Areas.Screening.AutoMapper.ReplacementProfile,0.06790123456790123,0.020491803278688527,0.0,0.0,0.005843681519357195,0.0,0.026634382566585957,0.0,0
3949,Application.Areas.Screening.AutoMapper.ReviewItemsProfile,0.1111111111111111,0.26639344262295084,0.0,0.0,0.05186267348429511,0.0,0.14043583535108958,0.0,0
3950,Application.Areas.Screening.AutoMapper.RmaUBoxLabelProfile,0.09876543209876543,0.028688524590163935,0.0,0.0,0.008765522279035792,0.0,0.04842615012106538,0.0,0
3952,Application.Areas.Screening.AutoMapper.RMAUTestsProfile,0.22839506172839505,0.18852459016393444,0.0,0.0,0.04163623082542001,0.0,0.2179176755447942,0.0,0
3953,Application.Areas.Screening.AutoMapper.ScreenedBoxLabelProfile,0.09876543209876543,0.036885245901639344,0.0,0.0,0.009495982468955442,0.0,0.05569007263922519,0.0,0
3954,Application.Areas.Screening.AutoMapper.ScreenedPerformTestProfile,0.09259259259259259,0.03278688524590164,0.0,0.0,0.015339663988312637,0.0,0.04116222760290557,0.0,0
3956,Application.Areas.Screening.AutoMapper.ScreeningCustomerProfile,0.018518518518518517,0.012295081967213115,0.0,0.0,0.003652300949598247,0.0,0.004842615012106538,0.0,0
